logFC	unshrunk.logFC	logCPM	PValue	FDR
ENSG00000002586	3.33008514883401	3.33014047093618	8.92541551355745	0.00108105459172433	0.023483502715279
ENSG00000003436	3.91695627542347	3.91852886534776	4.72419029859982	0.00031265390173202	0.0100340282771284
ENSG00000005073	9.25937711189962	144269484.833627	0.333290382273369	0.000225511162592354	0.00800615475285888
ENSG00000007968	5.64082613083863	5.6633784215507	2.673359397614	1.45225867373149e-06	0.000204963806034128
ENSG00000008196	7.76732618156576	8.39319197063192	0.358426930789593	0.000307041941031696	0.00991987979231452
ENSG00000011028	4.16211277982386	4.16229067942812	8.12176918494095	0.000670295106386268	0.0170822619826042
ENSG00000012223	9.36220600919312	9.36421993088951	9.87885166672783	8.56509810618978e-07	0.000139750006470913
ENSG00000015413	5.04482793053498	5.09483186008859	0.956219803162415	0.0014661917977402	0.0286518808474997
ENSG00000024526	3.56465873047472	3.5693174750549	2.79147611409574	0.00249696015850087	0.0410845943751383
ENSG00000026025	4.01247984903006	4.01249574610944	11.4493790638165	4.56285815680655e-06	0.000474655253260212
ENSG00000026508	4.36306776616404	4.36315331671447	9.38670078543328	6.54840144788384e-05	0.00324604627311904
ENSG00000026751	4.29580066170524	4.31612653291804	1.45970881167039	0.000399864958417038	0.0118554556590133
ENSG00000029559	6.58904925351542	6.59951239439315	4.72421769998939	1.83420458657387e-05	0.00133736234115933
ENSG00000037965	5.80302420966909	6.14895091354067	-0.865290697115115	8.54531055528076e-05	0.00393573520880049
ENSG00000038945	4.24516255367753	4.24576818131409	6.44154217867524	5.98375116957832e-05	0.00305957310861448
ENSG00000041982	5.37511422195849	5.37524372824547	9.82650499389526	8.06786531439398e-06	0.00072652933394621
ENSG00000046774	7.33128128263077	7.97099496991885	-0.123106761742816	0.00274832313096088	0.043838751118711
ENSG00000047457	5.04228752912574	5.04290502132983	7.23438555718933	0.00121382601968613	0.0253631836875369
ENSG00000049249	4.91164825416016	4.95816080562253	0.922335699607495	0.000422327535663002	0.0123995775495023
ENSG00000051180	3.72424438951939	3.73149542301393	2.32870647833504	0.000450558145709458	0.0130380938711655
ENSG00000064666	3.53158931664571	3.53224916712034	5.56713914351333	0.00146375984928459	0.0286518808474997
ENSG00000064886	5.60266776138161	5.60297027390444	8.8339036095943	2.8481002451855e-05	0.00181436941300211
ENSG00000065328	4.74391662893816	4.75945234645266	2.29388501485106	4.86418561784306e-05	0.00263802821800055
ENSG00000065911	3.05028596453054	3.05079506364909	5.42012193058768	0.00104755801057721	0.0230509855514729
ENSG00000066279	4.91001879812273	4.91651287789733	3.70981107562345	5.23598972014048e-05	0.0028081194645749
ENSG00000068489	3.04998052112978	3.05151569846645	3.82957890155822	0.00238504285209269	0.0399326283358505
ENSG00000069011	8.08734889104146	8.21169046836805	2.73561490663589	3.77298952626565e-10	6.07048861512634e-07
ENSG00000069812	6.00459841881775	6.05406090059369	1.93254406518748	0.00304387190473412	0.0470423119602163
ENSG00000070748	4.27153073966801	4.50401772412289	-1.8128004029434	0.00313150925946386	0.0478328129543676
ENSG00000072571	4.20146956799098	4.2085742910443	2.85308538467582	9.36754113298245e-05	0.0041943643358701
ENSG00000072694	5.68234716778209	5.68869905717338	4.52737128881044	6.73097132696326e-06	0.000637040243156593
ENSG00000073792	4.35832871549488	4.36174341648625	4.06921995050044	0.000228946715030072	0.00808989754104797
ENSG00000074410	5.18425196965404	5.1848322750658	7.46877087599046	0.000121255748008907	0.00506295194194976
ENSG00000075218	5.10801792237234	5.11858544722408	3.21632854958213	2.12280498572457e-06	0.000264081317141633
ENSG00000075275	4.35432203234123	4.35709169083995	4.36561432024292	0.000897515557121808	0.0207167400204703
ENSG00000077274	5.89667846268953	6.04949027377945	0.250789213906404	0.00095124076186406	0.0215560981660349
ENSG00000078081	3.84108203255943	3.85639766172044	1.39154728460952	0.00144829626263125	0.0285198320842673
ENSG00000078399	9.8804947188541	144269485.45557	0.944199111537119	3.09767906292893e-05	0.0019267883119775
ENSG00000078898	6.11744053334043	6.45893895861615	-0.514720291287591	0.000692570086701718	0.0174837724607314
ENSG00000080986	5.71530855556612	5.73291330976219	3.10563826245996	3.44507662834742e-08	1.36300785817273e-05
ENSG00000082929	6.4930952192173	7.1195130569754	-0.890841404309244	3.80219846380267e-06	0.000411489944957012
ENSG00000085840	4.20477486640747	4.21509428423922	2.32498805570248	6.48895445486053e-05	0.00324232767730029
ENSG00000086991	3.90921415589791	3.91859673840849	2.15731742128718	0.000146587196258883	0.00585717780548326
ENSG00000087245	4.16584680466793	4.16616629502254	7.28119705899418	0.000559918952749062	0.015115306494011
ENSG00000087586	3.39145745253402	3.39393226327174	3.51461330697731	0.00118800230577698	0.0250403909586216
ENSG00000088325	3.60059534565186	3.60140511372819	5.34573582075474	0.0010683627210414	0.0232517741370605
ENSG00000089157	2.96879509342265	2.96881493036574	10.0098024049269	0.000795030494731547	0.0192257173946404
ENSG00000089225	6.87271753785811	7.11312007535397	0.641051903608399	0.00122965679214398	0.0254515754902253
ENSG00000089685	6.88428693236205	6.89412838620631	5.11254703442719	1.46503249116696e-09	1.47321225590931e-06
ENSG00000090382	5.01022686393744	5.01170092305608	5.94744842251062	3.51718958224729e-05	0.00209892367851703
ENSG00000090659	5.12775071198062	5.13338680782316	4.1375246252745	0.00244052753403642	0.0405645258308781
ENSG00000090889	4.71630138192889	4.72081722447978	4.03443627840611	7.21630052676322e-06	0.00066727278510691
ENSG00000091879	3.56078975964725	3.56180105221416	4.98434499490697	0.00156443306546578	0.0301325040717885
ENSG00000091986	3.69942308528332	3.69966953386622	7.16563139483069	0.000190260707398333	0.00706249387135303
ENSG00000092607	3.7652132415901	3.76872078601435	3.41035445525195	0.00126515536515116	0.0260300593201689
ENSG00000093009	5.35932398835082	5.37629223543444	2.79461565691486	7.58042236409458e-07	0.000129748874705715
ENSG00000099994	4.37765091397724	4.37949390432822	4.9753702580568	0.00314225241436346	0.0479665526680885
ENSG00000100162	3.39881312231837	3.40523803833726	2.15600728494811	0.00140571466077274	0.0281186168720964
ENSG00000100504	3.5249140400652	3.52528106517121	6.40567866430154	0.000555792953136822	0.0150375640482108
ENSG00000100985	6.98421414841829	6.99498941088568	5.0810605943717	2.68642556539038e-05	0.00174755241496311
ENSG00000101057	7.45996760748821	7.4795408869827	4.70804752060731	6.01318187177887e-11	1.81402664116889e-07
ENSG00000101278	3.49914514392373	3.61455275790874	-1.66751568150426	0.00215856548550992	0.0372857958069904
ENSG00000101825	6.28092093257275	6.28241630166789	7.21551359808766	0.00115787013020123	0.0245093125570121
ENSG00000101916	4.24717786856819	4.25374721284253	3.01433767305035	0.00328205005098858	0.0494129731319765
ENSG00000101955	4.6610117207154	4.66172877288046	6.62793451655138	0.000170447198656261	0.00658171630779233
ENSG00000102007	4.85487820582547	4.85570631128139	6.61945503626632	5.05824914206754e-06	0.000508649103311075
ENSG00000102359	5.68676733932387	5.69058584081761	5.26513584589338	1.82327405666555e-06	0.000239146174367209
ENSG00000102575	3.8310917367095	3.8348036829464	3.39792249704007	0.000227015192964224	0.0080452050910405
ENSG00000104055	5.54616511044111	5.62937432206136	0.746927491936722	5.38460361116579e-05	0.00286149539423093
ENSG00000104147	4.37079171769026	4.39536792092182	1.27032959837826	5.16255672991329e-05	0.00278731866039658
ENSG00000105011	5.99391187076708	6.00522770387569	4.01797993983753	4.32006028556548e-09	2.8387089092575e-06
ENSG00000105137	2.93068625102499	2.93122695683939	5.20088110401281	0.00219228058984718	0.0376287034437058
ENSG00000105559	3.50850474845316	3.50898721827506	5.99419236153707	0.000240781851464639	0.00831334649963892
ENSG00000105974	4.08516565187805	4.08548692930181	7.1890109759821	0.000508888923523359	0.014132940483674
ENSG00000105991	6.78204727012652	7.12869062493482	0.0887455963039199	1.60614072813614e-07	4.55498777246522e-05
ENSG00000105996	8.23139805595426	8.86562541276675	0.763389491632224	1.303339707465e-05	0.00104154968542915
ENSG00000105997	8.31208189663266	8.66182240293833	1.56589037243635	2.10174552292553e-08	8.81043510786762e-06
ENSG00000106004	7.96960047374062	8.20949783046596	1.73762804687829	2.75836377555245e-10	5.12079625839868e-07
ENSG00000106006	8.42924614636565	144269484.001669	-0.456930320083743	2.67706782025002e-07	6.09512780885981e-05
ENSG00000106031	5.88707048062861	5.97718756089014	0.99741359963135	0.000435641525838946	0.0127175138858604
ENSG00000106066	3.67794004621434	3.67848820476217	5.99008134997673	0.00112935384216121	0.024098873233173
ENSG00000106333	4.77517670591485	4.77567933501385	7.25746547918069	0.00259009388677419	0.0421790322964968
ENSG00000106366	4.45124051723376	4.45141499689057	8.44991143658173	0.00190820921588768	0.0344964203866916
ENSG00000106462	4.34832696367385	4.35068797149238	4.58851441799954	1.38060673968962e-05	0.00108151958281675
ENSG00000106483	4.33517010919783	4.3365174832954	5.38237761563517	2.24722870864097e-07	5.53414465860623e-05
ENSG00000106511	5.15502991444755	5.1617314767192	3.91599819406256	8.31159478496413e-05	0.00385013490480469
ENSG00000107159	5.78944032791419	5.79620167125572	4.54671650337202	1.07607511226867e-05	0.000904877935870804
ENSG00000108511	8.15197854793085	8.77605466505804	0.749236396787149	4.02453615492485e-06	0.000426000682293668
ENSG00000108821	7.0660860657765	7.06628026119404	10.9499432268709	0.000141021528428551	0.00572002280183975
ENSG00000108846	4.90326824011674	4.90504228661374	5.57198070396497	1.22154423058119e-05	0.000989286861102228
ENSG00000109674	3.86235135820704	3.87774613680729	1.4002105952296	0.00109116609673883	0.0235538137686606
ENSG00000109705	5.8490441064209	6.08943862850179	-0.375130517847982	3.52066141790829e-05	0.00209892367851703
ENSG00000109743	3.47279606005939	3.47722092462158	2.76841773659772	0.00118284990972967	0.0249972852201541
ENSG00000109805	6.08902037033629	6.10367226909883	3.74263895837485	2.15472961975525e-07	5.41690048366387e-05
ENSG00000109861	3.22696139663262	3.22718386228597	6.80646747542052	0.00299163409057486	0.0464010907081835
ENSG00000110077	4.82828181513255	4.82910896359369	6.59379477565199	3.43061241528296e-05	0.0020750476198105
